education,age,interest,num_of_questions,perc_correct,avg_time_to_answer,prev_skill_level,feedback,skill_level
3,13,0.37,0,0,0,0,0,0.420666667
2,15,0.23,0,0,0,0,0,0.153333333
2,15,0.84,0,0,0,0,0,0.46
1,15,0.62,0,0,0,0,0,0.106666667
2,13,0.22,0,0,0,0,0,0.127111111
2,15,0.75,0,0,0,0,0,0.4
2,13,0.37,0,0,0,0,0,0.213777778
2,15,0.53,0,0,0,0,0,0.353333333
2,14,0.48,0,0,0,0,0,0.298666667
1,15,0.82,0,0,0,0,0,0.373333333
1,13,0.55,0,0,0,0,0,0.158888889
3,15,0.24,0,0,0,0,0,0.24
2,15,0.37,0,0,0,0,0,0.146666667
1,14,0.7,0,0,0,0,0,0.117777778
2,15,0.33,0,0,0,0,0,0.12
3,13,0.44,0,0,0,0,0,0.481333333
1,14,0.26,0,0,0,0,0,0
3,15,0.48,0,0,0,0,0,0.48
3,15,0.24,0,0,0,0,0,0.24
2,13,0.45,0,0,0,0,0,0.36
1,15,0.42,0,0,0,0,0,0.14
2,15,0.31,0,0,0,0,0,0.306666667
1,14,0.39,0,0,0,0,0,0.221333333
2,14,0.4,0,0,0,0,0,0.348888889
1,14,0.1,0,0,0,0,0,0.131111111
1,14,0.41,0,0,0,0,0,0.127555556
2,13,0.5,0,0,0,0,0,0.288888889
2,13,0.32,0,0,0,0,0,0.284888889
3,14,0.66,0,0,0,0,0,0.616
3,13,0.53,0,0,0,0,0,0.559333333
3,13,0.33,0,0,0,0,0,0.286
1,15,0.31,0,0,0,0,0,0.203333333
3,13,0.59,0,0,0,0,0,0.411333333
2,13,0.44,0,0,0,0,0,0.154222222
2,15,0.46,0,0,0,0,0,0.306666667
3,13,0.55,0,0,0,0,0,0.476666667
2,13,0.48,0,0,0,0,0,0.177333333
2,15,0.44,0,0,0,0,0,0.193333333
2,15,0.33,0,0,0,0,0,0.12
1,14,0.34,0,0,0,0,0,0.105777778
1,14,0.75,0,0,0,0,0,0.133333333
2,13,0.11,0,0,0,0,0,0
